lab3_c1_v10_h1,hostname,lab3_c1_v10_h1,bond,True,eth0,virbr0,eth1,L-10,eth2,L-11,
lab3_c1_v10_h2,hostname,lab3_c1_v10_h2,bond,False,eth0,virbr0,eth1,L-13,eth2,none,
lab3_c1_v20_h3,hostname,lab3_c1_v20_h3,bond,False,eth0,virbr0,eth1,L-14,eth2,none,
lab3_c2_v100_h1,hostname,lab3_c2_v100_h1,bond,False,eth0,virbr0,eth1,L-12,eth2,none,
lab3_c2_v200_h2,hostname,lab3_c2_v200_h2,bond,False,eth0,virbr0,eth1,L-15,eth2,none,
lab3_c1_v10_h4,hostname,lab3_c1_v10_h4,bond,True,eth0,virbr0,eth1,L-30,eth2,L-31,
lab3_c1_v10_h5,hostname,lab3_c1_v10_h5,bond,False,eth0,virbr0,eth1,L-33,eth2,none,
lab3_c1_v30_h6,hostname,lab3_c1_v30_h6,bond,False,eth0,virbr0,eth1,L-34,eth2,none,
lab3_c2_v100_h3,hostname,lab3_c2_v100_h3,bond,False,eth0,virbr0,eth1,L-32,eth2,none,
lab3_c2_v300_h4,hostname,lab3_c2_v300_h4,bond,False,eth0,virbr0,eth1,L-35,eth2,none,
